AgeBP1950;Temp;1sigmauncert;Source
650;-0,22;0,30;Marcott
670;-0,23;0,30;Marcott
690;-0,15;0,30;Marcott
710;-0,18;0,30;Marcott
730;-0,17;0,29;Marcott
750;-0,16;0,29;Marcott
770;-0,16;0,29;Marcott
790;-0,16;0,29;Marcott
810;-0,15;0,28;Marcott
830;-0,15;0,28;Marcott
850;-0,16;0,28;Marcott
870;-0,17;0,29;Marcott
890;-0,16;0,29;Marcott
910;-0,15;0,29;Marcott
930;-0,14;0,28;Marcott
950;-0,14;0,28;Marcott
970;-0,13;0,29;Marcott
990;-0,10;0,29;Marcott
1010;-0,06;0,29;Marcott
1030;-0,04;0,28;Marcott
1050;-0,03;0,28;Marcott
1070;-0,01;0,28;Marcott
1090;0,00;0,27;Marcott
1110;0,00;0,27;Marcott
1130;-0,01;0,27;Marcott
1150;-0,01;0,27;Marcott
1170;0,00;0,27;Marcott
1190;0,02;0,27;Marcott
1210;0,04;0,28;Marcott
1230;0,05;0,28;Marcott
1250;0,07;0,28;Marcott
1270;0,08;0,28;Marcott
1290;0,09;0,28;Marcott
1310;0,10;0,28;Marcott
1330;0,11;0,28;Marcott
1350;0,13;0,28;Marcott
1370;0,15;0,27;Marcott
1390;0,16;0,28;Marcott
1410;0,18;0,28;Marcott
1430;0,19;0,28;Marcott
1450;0,20;0,28;Marcott
1470;0,21;0,28;Marcott
1490;0,14;0,28;Marcott
1510;0,15;0,29;Marcott
1530;0,16;0,29;Marcott
1550;0,15;0,31;Marcott
1570;0,13;0,32;Marcott
1590;0,10;0,32;Marcott
1610;0,07;0,31;Marcott
1630;0,05;0,30;Marcott
1650;0,03;0,29;Marcott
1670;0,02;0,29;Marcott
1690;0,03;0,29;Marcott
1710;0,04;0,29;Marcott
1730;0,06;0,28;Marcott
1750;0,07;0,28;Marcott
1770;0,09;0,28;Marcott
1790;0,10;0,28;Marcott
1810;0,11;0,28;Marcott
1830;0,12;0,28;Marcott
1850;0,12;0,28;Marcott
1870;0,12;0,28;Marcott
1890;0,12;0,28;Marcott
1910;0,12;0,28;Marcott
1930;0,13;0,28;Marcott
1950;0,14;0,28;Marcott
1970;0,15;0,28;Marcott
1990;0,16;0,28;Marcott
2010;0,17;0,28;Marcott
2030;0,18;0,28;Marcott
2050;0,18;0,28;Marcott
2070;0,19;0,28;Marcott
2090;0,20;0,29;Marcott
2110;0,21;0,29;Marcott
2130;0,21;0,29;Marcott
2150;0,22;0,29;Marcott
2170;0,22;0,29;Marcott
2190;0,22;0,29;Marcott
2210;0,21;0,29;Marcott
2230;0,20;0,28;Marcott
2250;0,19;0,28;Marcott
2270;0,19;0,28;Marcott
2290;0,19;0,28;Marcott
2310;0,21;0,28;Marcott
2330;0,22;0,28;Marcott
2350;0,23;0,28;Marcott
2370;0,24;0,29;Marcott
2390;0,25;0,28;Marcott
2410;0,25;0,28;Marcott
2430;0,25;0,28;Marcott
2450;0,25;0,28;Marcott
2470;0,24;0,28;Marcott
2490;0,24;0,28;Marcott
2510;0,23;0,29;Marcott
2530;0,23;0,29;Marcott
2550;0,22;0,30;Marcott
2570;0,22;0,30;Marcott
2590;0,22;0,29;Marcott
2610;0,22;0,29;Marcott
2630;0,22;0,29;Marcott
2650;0,22;0,29;Marcott
2670;0,22;0,28;Marcott
2690;0,22;0,28;Marcott
2710;0,21;0,28;Marcott
2730;0,21;0,28;Marcott
2750;0,22;0,28;Marcott
2770;0,22;0,29;Marcott
2790;0,22;0,29;Marcott
2810;0,23;0,29;Marcott
2830;0,23;0,29;Marcott
2850;0,23;0,28;Marcott
2870;0,23;0,28;Marcott
2890;0,23;0,28;Marcott
2910;0,22;0,28;Marcott
2930;0,21;0,28;Marcott
2950;0,20;0,28;Marcott
2970;0,19;0,28;Marcott
2990;0,18;0,28;Marcott
3010;0,18;0,29;Marcott
3030;0,17;0,29;Marcott
3050;0,17;0,29;Marcott
3070;0,17;0,30;Marcott
